Sites_ID;old_ID;Study;Sampling_methods;Sampling_effort(h/traps);State;Municipality;Study_sites;Latitude;Longitude
bor1001;bor1075;Santos_etal_2020;Bait_traps;17280;Piaui;Uniao/Jose_de_Freitas/Teresina/Altos/Demerval_Lobao/Pau_D'Arco/Lagoa_do_Piaui;Floresta_Nacional_de_Palmares/RPPN_Boqueirao_dos_Frades/RPPN_Santa_Maria_de_Tapua;-5.049266;-42.667318
bor1002;bor1001;Kerpel_etal_2014;Bait_traps/Entomological_nets;912;Paraiba;Areia;Reserva_Ecologica_da_Mata_do_Pau_Ferro;-6.96;-35.748611
bor1003;bor1002;Paluch_etal_2011;Entomological_nets/Bait_traps;8640;Pernambuco;Caruaru;Parque_Ecologico_Joao_Vasconcelos_Sobrinho;-8.356068;-36.029473
bor1004;bor1003;Kerpel_etal_2014/Nobre_etal_2012;Bait_traps/Entomological_nets;6000;Pernambuco;Sao_Jose;Parque_Nacional_do_Catimbau;-8.4;-37.158333
bor1005;bor1004;Kerpel_etal_2014;Bait_traps/Entomological_nets;1250;Piaui;Gilbues;Parque_Nacional_da_Serra_das_Confusoes;-8.851111;-43.468056
bor1006;bor1005;Filgueiras_etal_2016/Filgueiras_etal_2019/Melo_etal_2019;Bait_traps;34560;Alagoas;Sao_Jose_da_Lage;Usina_Serra_Grande;-9.006119;-35.866767
bor1007;bor1006;Kerpel_etal_2014;Bait_traps/Entomological_nets;360;Bahia;Senhor_do_Bonfim;Senhor_do_Bonfim;-10.421876;-40.217581
bor1008;bor1007;Kerpel_etal_2014;Bait_traps/Entomological_nets;240;Bahia;Pindobacu;Cachoeira_da_Fumaca;-10.478611;-40.2075
bor1009;bor1008;Kerpel_etal_2014;Bait_traps/Entomological_nets;120;Bahia;Morro_do_Chapeu;Morro_do_Chapeu;-11.587812;-41.150771
bor1010;bor1010;Neves_Paluch_2016;Bait_traps;8640;Bahia;Wenceslau_Guimaraes;Estacao_Ecologica_Estadual_de_Wenceslau_Guimaraes;-13.59552;-39.720029
bor1011;bor1011;Cambui_etal_2017;Bait_traps;192000;Bahia;Igrapiuna;Michelin_Ecological_Reserve/Rubber_tree_plantations;-13.833333;-39.166667
bor1012;bor1012;Silva_2018;Bait_traps;17248;Bahia;Brumado;unidade_industrial_Catiboaba_da_Magnesita_Refratarios_S.A;-14.229575;-41.734346
bor1013;bor1013;Beirao_2016/Beirao_etal_2017;Bait_traps;23040;Minas_Gerais;North_sites;Lagoa_do_Cajueiro/Jaiba_and_Serra_Azul;-14.969749;-43.886423
bor1014;bor1014;Gozzi_etal_2012;Bait_traps;16200;Minas_Gerais;Januaria;Refugio_da_Vida_Silvestre_do_Rio_Pandeiros;-15.507278;-44.755917
bor1015;bor1015;deSousa_etal_2019;Bait_traps;720;Mato_Grosso;Barra_do_Garcas;Parque_Estadual_da_Serra_Azul;-15.872145;-52.259924
bor1016;bor1016;Vasconcelos_etal_2019;Bait_traps;46080;Bahia;Eunapolis;Veracel_Celulose_SA;-16.333333;-39.25
bor1017;bor1017;Porath_Aranda_2020;Bait_traps;14400;Mato_Grosso;Rondonopilos;Universidade_Federal_de_Rondonopolis;-16.459042;-54.581225
bor1018;bor1018;Nery_etal_2014;Bait_traps/Entomological_nets;19200;Minas_Gerais;Conceicao_do_Mato_Dentro;Parque_Estadual_da_Serra_do_Intendente;-18.979722;-43.621667
bor1019;bor1019;Freitas_etal_2016;Entomological_nets/Bait_traps;180;Espirito_Santo;Linhares;Reserva_Natural_Vale_Linhares;-19.151381;-40.070808
bor1020;bor1020;Beirao_2016/Beirao_etal_2017;Bait_traps;13824;Minas_Gerais;Central_site;Morro_da_Pedreira;-19.316547;-43.609334
bor1021;bor1021;Pires_etal_2017/Pereira_etal_2017;Bait_traps/Entomological_nets;2520;Minas_Gerais;Santana_do_Riacho;Parque_Nacional_da_Serra_do_Cipo/Morro_da_Pedreira;-19.317941;-43.622049
bor1022;bor1022;Silva_etal_2010;Bait_traps;46080;Minas_Gerais;Marlieria;Parque_Estadual_do_Rio_Doce;-19.596608;-42.568168
bor1023;bor1023;Soares_etal_2012;Bait_traps/Entomological_nets;6720;Minas_Gerais;Belo_Horizonte;Parque_Municipal_Americo_Rene_Giannetti;-19.923992;-43.934004
bor1024;bor1024;Silva_etal_2012;Bait_traps;34560;Minas_Gerais;Nova_Lima;Area_de_Protecao_Especial_Manancial_Cercadinho;-19.972075;-43.908301
bor1025;bor1025;Silva_etal_2015;Bait_traps;60480;Minas_Gerais;Nova_Lima;Area_de_Protecao_Especial_Manancial_Mutuca;-20.010278;-43.968889
bor1026;bor1026;Silva_etal_2020;Bait_traps;43200;Minas_Gerais;Ouro_Branco;Parque_Estadual_Serra_do_Ouro_Branco;-20.498712;-43.676487
bor1027;bor1027;Araujo_etal_2020;Bait_traps;77760;Mato_Grosso_do_Sul;Jardim/Bonito/Porto_Murtinho_and_Bodoquena;Parque_Nacional_da_Serra_da_Bodoquena;-21.041225;-56.68464
bor1028;bor1028;Henriques_etal_2019;Bait_traps/Entomological_nets;864;Minas_Gerais;Tiradentes;Area_de_Protecao_Ambiental_da_Serra_de_Sao_Jose;-21.101618;-44.194864
bor1029;bor1029;Brito_etal_2014;Bait_traps;46656;Minas_Gerais;Alfenas;Fragmented_landscape;-21.429167;-45.947222
bor1030;bor1077;Maciel_etal_2019;Bait_traps;432;Minas_Gerais;Juiz_de_Fora;Jardim_Botanico_da_Universidade_Federal_de_Juiz_de_Fora;-21.724444;-43.279722
bor1031;bor1031;Francesconi_etal_2013;Bait_traps;55296;Sao_Paulo;Pontal_do_Paranapanema;Agua_Sumida;-22.306847;-52.314964
bor1032;bor1078;Andrade_2019;Bait_traps/Entomological_nets;4172;Minas_Gerais;Itamonte;RPPN_Alto-Montana_da_Serra_Fina;-22.365278;-44.808889
bor1033;bor1033;Soares_etal_2011;Entomological_nets/Bait_traps;720;Rio_de_Janeiro;Cachoeiras_de_Macau;Reserva_Ecologica_de_Guapiacu;-22.453889;-42.771667
bor1034;bor1036;Francesconi_etal_2013;Bait_traps;64512;Sao_Paulo;Pontal_do_Paranapanema;Ribeirao_Bonito;-22.519642;-52.381972
bor1035;bor1037;Mielke_Casagrande_1997;Entomological_nets/Bait_traps;576;Sao_Paulo;Teodoro_Sampaio;Parque_Estadual_do_Morro_do_Diabo;-22.528953;-52.297497
bor1036;bor1038;Santanna_etal_2014;Bait_traps;11520;Sao_Paulo;Santa_Barbara_d'Oeste;Early;-22.5769;-47.508311
bor1037;bor1039;Garcia-Salik_etal_2014;Entomological_nets/Bait_traps;216;Parana;Diamante_do_Norte;Estacao_Ecologica_do_Caiua;-22.602352;-52.877805
bor1038;bor1040;Santanna_etal_2014;Bait_traps;11520;Sao_Paulo;Iracemapolis;Intermediate;-22.6719;-47.206011
bor1039;bor1041;Gomes-Filho_2003/Pettirossi_2009;Bait_traps;29952;Sao_Paulo;Campinas;Area_de_Relevante_Interesse_Ecologico/Mata_de_Santa_Genebra;-22.821505;-47.110789
bor1040;bor1042;Santanna_etal_2014;Bait_traps;11520;Sao_Paulo;Cosmopolis;Old;-22.828853;-47.432697
bor1041;bor1043;Santanna_etal_2014;Bait_traps;11520;Sao_Paulo;Campinas;Native_Forest;-22.834683;-46.927078
bor1042;bor1044;Gueratto_etal_2020/Santos_etal_2017;Bait_traps;184320;Sao_Paulo;Jundiai;Reserva_Biologica_Serra_do_Japi;-23.231111;-46.935556
bor1043;bor1045;Ribeiro_2006;Bait_traps;374400;Sao_Paulo;Sao_Luiz_do_Paraitinga;Sao_Luiz_do_Paraitinga;-23.333333;-45.333333
bor1044;bor1046;Uehara-Prado_etal_2004/Filgueiras_etal_2019;Bait_traps;36000;Sao_Paulo;Cotia;Reserva_Estadual_do_Morro_Grande;-23.730177;-46.964028
bor1045;bor1076;Dickens_etal_2019;Entomological_nets/Bait_traps;9504;San_Pedro;Laguna_Blanca;Rancho_Laguna_Blanca;-23.781278;-56.291361
bor1046;bor1048;Francini_etal_2011;Entomological_nets/Bait_traps;1750;Sao_Paulo;Sao_Vicente;Baixada_Santista_region;-23.836682;-46.313939
bor1047;bor1050;Graciotim_Morais_2016;Bait_traps;9000;Parana;Santa_Tereza_do_Oeste;Parque_Nacional_do_Iguacu;-25.070306;-53.659139
bor1048;bor1049;Graciotim_Morais_2016;Bait_traps;9000;Parana;Ceu_Azul;Parque_Nacional_do_Iguacu;-25.154464;-53.841936
bor1049;bor1051;Dolibaina_etal_2011;Entomological_nets/Bait_traps;600;Parana;Guarapava_and_arredores;Guarapava_and_arredores;-25.41723;-51.459027
bor1050;bor1052;Beltrami_etal_2014;Entomological_nets/Bait_traps;740;Parana;Balsa_Nova;Sao_Luiz_do_Puruna;-25.4537;-49.7041
bor1051;bor1053;Nunez-Bustos_2008;Entomological_nets/Bait_traps;1860;Missiones;Missiones;Reserva_Privada_Yacutinga;-25.55;-54.066667
bor1052;bor1054;Nunez-Bustos_2009;Entomological_nets/Bait_traps;4692;Missiones;Missiones;Parque_Nacional_do_Iguacu;-25.667422;-54.649153
bor1053;bor1055;Bordin_etal_2019;Bait_traps;25920;Santa_Catarina;Sao_Domingos;Parque_Estadual_das_Araucarias;-26.452222;-52.565556
bor1054;bor1056;Bordin_etal_2019;Bait_traps;23040;Santa_Catarina;Abelardo_Luz;Estacao_Ecologica_da_Mata_Preta;-26.515919;-52.133247
bor1055;bor1057;Bordin_etal_2019;Bait_traps;28800;Santa_Catarina;Guatambu;Floresta_Nacional_de_Chapeco;-27.106889;-52.783139
bor1056;bor1058;Nunez-Bustos_etal_2011;Entomological_nets/Bait_traps;840;Missiones;San_Ignacio;Parque_Provincial_Teyu_Cuare/Reserva_Privada_Osununu;-27.282958;-55.584108
bor1057;bor1059;Fleck_Costa_2018;Bait_traps;11520;Rio_Grande_do_Sul;Taquarucu_do_Sul;Fragmented_landscape;-27.396667;-53.498611
bor1058;bor1060;Corso_Hernandez_2012;Bait_traps;36000;Santa_Catarina;Santo_Amaro_da_Imperatriz;Parque_Estadual_da_Serra_do_Tabuleiro;-27.840405;-48.855875
bor1059;bor1061;Hoehne_etal_2017;Bait_traps;2160;Rio_Grande_do_Sul;Soledade;Espraiado;-28.724636;-52.562113
bor1060;bor1062;Bellaver_etal_2012;Bait_traps;46080;Rio_Grande_do_Sul;Dom_Pedro_de_Alcantara;Mata_Paludosa_e_Parque_Estadual_de_Itapeva;-29.364375;-49.853506
bor1061;bor1063;Santos_etal_2011/Richter_2018/Gawlinski_2019/Casas-Pinilla_2020;Bait_traps;148320;Rio_Grande_do_Sul;Sao_Francisco_de_Paula;Floresta_Nacional_de_Sao_Francisco_de_Paula;-29.423783;-50.386504
bor1062;bor1064;Pedrotti_etal_2011;Bait_traps;5760;Rio_Grande_do_Sul;Sao_Francisco_de_Paula;Hotel_Veraneio_Hampel;-29.44282;-50.611356
bor1063;bor1065;Paz_etal_2014;Bait_traps;720;Rio_Grande_do_Sul;Jaguari;Jaguari;-29.4975;-54.69
bor1064;bor1066;Paz_etal_2014;Bait_traps;720;Rio_Grande_do_Sul;Sao_Francisco_de_Assis;Sao_Francisco_de_Assis;-29.550278;-55.131111
bor1065;bor1067;Santos_etal_2011;Bait_traps/Entomological_nets;2400;Rio_Grande_do_Sul;Maquine;Barra_do_Ouro;-29.583333;-50.266667
bor1066;bor1068;Spaniol_Morais_2015;Bait_traps;11520;Rio_Grande_do_Sul;Santa_Maria;Morro_Cerrito/Tres_Barras;-29.610556;-53.706944
bor1067;bor1069;Paz_etal_2014;Bait_traps;720;Rio_Grande_do_Sul;Sao_Vicente_do_Sul;Sao_Vicente_do_Sul;-29.691667;-54.679444
bor1068;bor1070;Spaniol_Morais_2015;Bait_traps;11520;Rio_Grande_do_Sul;Santa_Maria;Criadouro_Conservacionista_Sao_Braz/Centro_de_Instrucoes_de_Santa_Maria;-29.698889;-53.916389
bor1069;bor1074;Richter_in_prep;Bait_traps;8400;Rio_Grande_do_Sul;Eldorado_do_Sul;Estacao_ExperimentalAgronomica_UFRGS;-30.091652;-51.6717592
bor1070;bor1071;Fucilini_2014;Bait_traps;46080;Rio_Grande_do_Sul;Viamao;Parque_Estadual_do_Itapua;-30.345796;-51.02564
bor1071;bor1072;Gawlinski_2016;Bait_traps;15360;Rio_Grande_do_Sul;Morro_Redondo;Colonia_Santo_Amor;-31.668059;-52.582265
bor1072;bor1073;Moaris_Iserhard_in_prep;Bait_traps;241920;Rio_Grande_do_Sul;Capao_do_Leao;Horto_Botanico_Irmao_Teodoro_Luis;-31.813105;-52.42251
bor1073;bor1073;Silva_etal_2012;Bait_traps;10800;Rio_Grande_do_Sul;Capao_do_Leao;Horto_Botanico_Irmao_Teodoro_Luis;-31.816111;-52.431944
bor1074;bor1074;Silva_etal_2018;Bait_traps;4800;Rio_Grande_do_Sul;Frederico_Westphalen;Parque_Municipal_Arcangelo_Busatto/Santuario_de_Schoenstatt;-27.374995;-53.428491
bor1075;bor1075;Brito_etal_2021;Bait_traps;36000;Rio_Grande_do _Norte;Goianinha;centroide;-6.283161;-35.166514
